Date,Small Size Low BE/ME,Small Size 2 BE/ME,Small Size 3 BE/ME,Small Size 4 BE/ME,Small Size High BE/ME,2 Size Low BE/ME,2 Size 2 BE/ME,2 Size 3 BE/ME,2 Size 4 BE/ME,2 Size High BE/ME,3 Size Low BE/ME,3 Size 2 BE/ME,3 Size 3 BE/ME,3 Size 4 BE/ME,3 Size High BE/ME,4 Size Low BE/ME,4 Size 2 BE/ME,4 Size 3 BE/ME,4 Size 4 BE/ME,4 Size High BE/ME,Big Size Low BE/ME,Big Size 2 BE/ME,Big Size 3 BE/ME,Big Size 4 BE/ME,Big Size High BE/ME
1926,0.4,0.94,1.46,1.94,5.92,1.09,0.88,1.07,1.82,4.03,0.45,0.78,1.19,1.66,3.97,0.48,0.77,1.03,1.61,3.12,0.38,0.68,1.03,1.49,2.31
1927,0.57,0.93,1.39,1.99,4.73,0.41,0.8,1.1,1.56,3.19,0.4,0.77,0.99,1.52,3.24,0.36,0.73,1.16,1.41,2.3,0.35,0.75,1,1.39,2.71
1928,0.38,0.84,1.01,1.38,3.89,0.4,0.66,0.93,1.45,2.61,0.28,0.56,0.77,1.21,2.76,0.3,0.61,0.85,1.19,2.35,0.25,0.57,0.87,1.29,1.9
1929,0.17,0.59,0.97,1.31,4.45,0.37,0.55,0.79,1.15,2.86,0.28,0.48,0.71,1.09,2.16,0.21,0.45,0.7,0.99,1.57,0.19,0.36,0.6,0.89,1.52
1930,0.81,1.51,2.11,2.69,6.51,0.48,0.93,1.28,2.04,5.09,0.45,0.88,1.28,1.97,3.91,0.43,0.86,1.23,1.82,2.85,0.34,0.69,1.03,1.83,1.96
1931,0.69,2.2,2.49,3.15,10.57,0.67,1.24,1.99,3.36,6.25,0.66,1.2,2,3.34,7.43,0.62,1.15,1.87,3.07,5.85,0.49,1.24,1.8,2.53,4.59
1932,5.36,4.5,7.49,14.53,45,2.69,5.22,6.58,11.28,37.28,1.98,3.84,6.22,12.1,22.68,1.49,3.46,6.4,13.6,31.9,1.5,2.6,6.12,10.64,27.54
1933,0.24,1.23,2.28,2.89,8.31,0.72,1.07,1.58,2.33,9.84,0.54,1.03,1.52,2.61,5.4,0.51,1.05,1.45,2.47,4.42,0.64,1.05,1.76,2.89,6.11
1934,0.7,0.91,1.53,2.77,11.73,0.42,0.94,1.58,2.39,9.63,0.58,0.96,1.53,2.45,6.72,0.5,0.92,1.52,2.93,6.34,0.45,1.02,1.55,3.17,6.51
1935,0.6,1.19,2.2,3.8,23.75,0.55,1.03,1.56,3.26,15.06,0.51,0.94,1.55,2.71,6.95,0.44,0.87,1.38,2.73,7.43,0.4,0.87,1.23,2.48,6.35
1936,0.32,0.68,1.06,1.78,10.82,0.39,0.69,1,1.62,9.29,0.36,0.61,1.01,1.46,3.48,0.32,0.64,0.92,1.55,4.46,0.26,0.59,0.83,1.61,3.33
1937,0.3,0.71,1.11,1.34,7.43,0.37,0.59,0.82,1.36,8.07,0.31,0.59,0.95,1.27,3.58,0.3,0.54,0.77,1.19,3.31,0.28,0.52,0.76,1.1,2.21
1938,0.42,0.69,1.26,2.25,15.67,0.54,0.89,1.29,1.88,9.27,0.47,0.88,1.27,2.05,6.34,0.41,0.89,1.25,1.96,7.18,0.4,0.88,1.29,2.1,5.6
1939,0.32,1.27,1.9,2.59,19.78,0.64,1.05,1.49,2.43,7.85,0.49,0.95,1.49,2.24,10.39,0.47,0.89,1.42,2.12,7.6,0.38,0.87,1.14,2.04,6.43
1940,0.41,0.91,1.94,2.65,16.69,0.6,1.05,1.43,2.31,6.93,0.56,0.94,1.54,2.35,10.4,0.47,0.94,1.47,2.38,6.91,0.41,0.87,1.32,2.26,5.83
1941,0.59,1.11,1.66,2.33,13.24,0.63,1,1.45,2.14,7.19,0.56,0.92,1.49,2.26,7.88,0.51,0.93,1.4,2.12,7.96,0.43,0.9,1.36,2.16,7.15
1942,0.79,1.24,1.99,2.61,14.93,0.89,1.22,1.84,2.69,7.42,0.73,1.22,1.9,2.51,11.72,0.7,1.2,1.78,2.93,9.55,0.53,1.22,1.78,2.73,6.97
1943,0.31,0.74,1.02,1.49,6.54,0.51,0.82,1.2,1.53,4.17,0.51,0.78,1.14,1.7,3.29,0.47,0.85,1.12,1.55,5.51,0.4,0.83,1.18,1.9,4.71
1944,0.4,0.83,0.96,1.36,5.24,0.56,0.74,1.03,1.37,4.12,0.45,0.7,1.05,1.44,2.89,0.45,0.75,1.08,1.44,4.24,0.4,0.82,1.07,1.53,2.89
1945,0.3,0.63,0.81,1.14,3.5,0.41,0.61,0.82,1.12,2.19,0.4,0.6,0.85,1.11,2.21,0.4,0.63,0.83,1.1,2.39,0.36,0.68,0.88,1.17,2.21
1946,0.31,0.49,0.61,0.82,2.58,0.29,0.47,0.62,0.8,2.09,0.27,0.46,0.61,0.77,1.81,0.28,0.45,0.6,0.85,2.25,0.29,0.44,0.63,0.77,1.58
1947,0.55,0.75,1.06,1.34,4.35,0.5,0.72,0.93,1.25,3.35,0.44,0.72,0.96,1.27,3.1,0.44,0.71,0.87,1.24,3.23,0.37,0.67,0.84,1.1,2.28
1948,0.58,0.84,1.09,1.29,3.38,0.53,0.75,0.95,1.28,2.62,0.44,0.74,0.96,1.22,2.89,0.43,0.69,0.95,1.16,2.81,0.42,0.69,0.9,1.19,2.07
1949,0.88,1.11,1.5,2.07,5.28,0.8,1.09,1.39,1.83,3.98,0.61,1.09,1.43,2.04,4.73,0.63,0.98,1.33,1.79,5.1,0.53,1.02,1.31,1.87,4.04
1950,0.58,0.96,1.26,1.57,4.22,0.58,0.93,1.17,1.61,3.31,0.54,0.83,1.23,1.67,3.75,0.58,0.87,1.18,1.55,4.3,0.44,0.87,1.11,1.5,2.62
1951,0.62,0.87,1.12,1.44,3.09,0.61,0.84,1.08,1.39,2.71,0.57,0.8,1.06,1.39,2.67,0.55,0.79,1.04,1.37,2.91,0.43,0.78,0.91,1.41,3
1952,0.58,0.89,1.12,1.45,3.05,0.53,0.81,1.05,1.44,2.59,0.58,0.79,1.06,1.34,2.43,0.51,0.78,1,1.37,2.67,0.44,0.74,0.96,1.47,2.38
1953,0.58,0.9,1.15,1.54,3.14,0.52,0.87,1.12,1.58,2.65,0.57,0.83,1.12,1.45,2.67,0.56,0.84,1.15,1.51,2.75,0.46,0.83,1.16,1.61,2.87
1954,0.6,0.9,1.22,1.63,3.26,0.55,0.79,1.09,1.59,2.87,0.51,0.79,1.05,1.46,2.68,0.49,0.74,0.99,1.5,2.74,0.38,0.77,1.07,1.43,3.2
1955,0.44,0.63,0.92,1.2,2.03,0.37,0.65,0.87,1.08,2.11,0.39,0.62,0.8,1.09,2.03,0.39,0.61,0.78,1.11,1.83,0.3,0.58,0.79,0.95,1.95
1956,0.4,0.68,0.94,1.19,2.18,0.4,0.6,0.86,1.16,2.08,0.4,0.62,0.82,1.12,2.01,0.35,0.59,0.76,1.11,1.97,0.31,0.56,0.81,1.05,2.54
1957,0.4,0.68,0.97,1.29,2.37,0.5,0.68,0.9,1.24,2.34,0.41,0.66,0.87,1.26,2.11,0.37,0.65,0.83,1.24,2.21,0.33,0.58,0.88,1.12,2.64
1958,0.4,0.82,1.02,1.39,2.97,0.39,0.66,0.97,1.4,2.57,0.43,0.67,0.97,1.3,2.22,0.39,0.66,0.92,1.35,3.64,0.38,0.66,0.88,1.31,2.54
1959,0.35,0.55,0.72,1.09,2.23,0.34,0.54,0.75,1.01,1.65,0.35,0.52,0.71,0.97,1.69,0.33,0.52,0.68,0.98,2.43,0.26,0.57,0.69,1.1,1.66
1960,0.37,0.62,0.9,1.18,3.17,0.38,0.58,0.82,1.13,2.19,0.36,0.58,0.79,1.12,2.04,0.31,0.58,0.73,1.15,3.28,0.26,0.55,0.74,1.24,1.74
1961,0.32,0.49,0.69,1.04,2.32,0.3,0.48,0.69,0.99,2.07,0.27,0.47,0.66,0.91,1.82,0.25,0.5,0.65,1.03,2.62,0.21,0.48,0.72,1.08,1.67
1962,0.47,0.77,0.94,1.29,3.46,0.39,0.65,0.92,1.23,2.57,0.41,0.62,0.86,1.27,2.82,0.36,0.61,0.8,1.25,2.79,0.31,0.58,0.8,1.13,1.84
1963,0.28,0.51,0.75,1.1,2.2,0.29,0.52,0.72,1.02,1.93,0.29,0.54,0.75,1.04,2.09,0.3,0.51,0.74,0.98,2.37,0.27,0.52,0.7,1,1.39
1964,0.29,0.51,0.69,1.03,1.96,0.3,0.52,0.7,0.93,1.55,0.31,0.5,0.64,0.92,1.81,0.3,0.48,0.66,0.95,1.64,0.24,0.47,0.64,0.87,1.5
1965,0.24,0.5,0.66,0.93,1.61,0.3,0.47,0.68,0.92,1.75,0.28,0.48,0.66,0.92,1.91,0.3,0.47,0.63,0.92,1.7,0.24,0.5,0.68,0.88,1.5
1966,0.23,0.44,0.62,0.81,1.4,0.24,0.47,0.6,0.84,1.58,0.26,0.5,0.64,0.85,1.66,0.26,0.47,0.64,0.84,1.49,0.24,0.45,0.65,0.84,1.5
1967,0.19,0.38,0.54,0.71,1.34,0.17,0.39,0.53,0.76,1.49,0.21,0.43,0.6,0.77,1.36,0.25,0.46,0.6,0.79,1.39,0.2,0.45,0.68,0.82,1.42
1968,0.17,0.33,0.48,0.65,1.07,0.16,0.37,0.51,0.68,1.14,0.16,0.34,0.54,0.68,1.11,0.18,0.39,0.51,0.69,1.23,0.16,0.39,0.57,0.76,1.21
1969,0.24,0.48,0.63,0.82,1.28,0.22,0.44,0.63,0.8,1.46,0.2,0.39,0.57,0.76,1.23,0.19,0.42,0.55,0.7,1.22,0.15,0.35,0.5,0.68,1
1970,0.51,0.85,1.16,1.42,2.34,0.42,0.88,1.02,1.32,2.29,0.38,0.75,1.05,1.16,2.12,0.29,0.71,0.86,1.18,2.47,0.25,0.57,0.79,1.05,1.89
1971,0.24,0.49,0.65,0.9,1.63,0.24,0.51,0.72,0.9,1.6,0.22,0.49,0.72,0.89,1.99,0.22,0.51,0.71,0.88,1.73,0.22,0.51,0.73,0.96,1.47
1972,0.25,0.49,0.72,0.93,1.61,0.24,0.47,0.7,0.99,1.81,0.21,0.47,0.71,0.98,1.67,0.19,0.49,0.72,0.95,1.73,0.17,0.48,0.75,1.02,1.57
1973,0.43,0.87,1.16,1.49,2.47,0.42,0.82,1.09,1.35,2.44,0.39,0.78,1.07,1.24,2.15,0.32,0.74,0.96,1.27,2.25,0.2,0.56,0.79,1.08,1.73
1974,0.53,1.03,1.37,1.78,3.01,0.58,1.03,1.43,1.81,2.93,0.52,1.06,1.42,1.75,2.78,0.48,1.04,1.47,2,2.76,0.34,1,1.33,1.81,2.31
1975,0.43,0.93,1.19,1.57,2.7,0.41,0.85,1.23,1.53,2.53,0.42,0.9,1.23,1.53,2.32,0.41,0.93,1.17,1.6,2.47,0.37,0.98,1.3,1.52,2.61
1976,0.41,0.84,1.1,1.4,2.32,0.41,0.8,1.12,1.45,2.16,0.38,0.81,1.1,1.37,1.99,0.43,0.84,1.13,1.33,1.96,0.37,0.79,1.13,1.37,2.11
1977,0.38,0.79,1.01,1.26,2.04,0.43,0.8,0.99,1.29,1.93,0.43,0.77,1.01,1.29,1.97,0.46,0.8,1.03,1.33,1.97,0.47,0.85,1.07,1.28,1.78
1978,0.35,0.74,0.94,1.2,1.83,0.38,0.75,1.01,1.29,1.89,0.42,0.75,1.03,1.27,1.89,0.43,0.79,1.05,1.33,1.96,0.45,0.84,1.16,1.44,1.98
1979,0.37,0.78,1.08,1.32,1.91,0.39,0.78,1.01,1.33,1.85,0.41,0.79,1.03,1.31,1.78,0.44,0.8,1.07,1.31,1.89,0.45,0.81,1.12,1.33,1.95
1980,0.32,0.8,1.14,1.49,2.31,0.34,0.78,1.12,1.46,2.15,0.37,0.79,1.1,1.42,1.91,0.37,0.78,1.1,1.39,2.15,0.42,0.71,0.92,1.43,2.06
1981,0.23,0.64,0.93,1.24,1.9,0.29,0.63,0.89,1.25,1.8,0.29,0.65,0.85,1.29,1.84,0.33,0.61,0.96,1.27,1.82,0.42,0.73,1.02,1.25,1.72
1982,0.42,0.93,1.23,1.61,2.53,0.45,0.87,1.24,1.67,2.37,0.45,0.86,1.25,1.62,2.66,0.51,0.93,1.3,1.7,2.27,0.47,0.83,1.27,1.62,2.05
1983,0.18,0.46,0.71,0.98,1.47,0.19,0.47,0.77,1.03,1.45,0.23,0.47,0.74,1.11,1.6,0.24,0.56,0.87,1.13,1.46,0.29,0.54,0.8,1.14,1.46
1984,0.31,0.69,0.93,1.19,1.77,0.32,0.63,0.9,1.16,1.92,0.33,0.66,0.96,1.16,1.81,0.34,0.64,0.93,1.26,1.76,0.37,0.6,0.9,1.14,1.94
1985,0.28,0.61,0.83,1.07,1.69,0.27,0.57,0.81,1.01,1.67,0.28,0.57,0.76,1.01,1.51,0.3,0.56,0.8,1.05,1.47,0.35,0.56,0.78,1.04,1.34
1986,0.21,0.51,0.69,0.89,1.65,0.22,0.48,0.65,0.88,1.36,0.22,0.44,0.61,0.87,1.26,0.23,0.46,0.62,0.89,1.25,0.27,0.43,0.64,0.85,1.22
1987,0.19,0.45,0.64,0.84,1.33,0.19,0.46,0.63,0.82,1.21,0.21,0.43,0.63,0.82,1.16,0.22,0.43,0.61,0.82,1.21,0.22,0.4,0.6,0.8,1.03
1988,0.23,0.51,0.74,0.97,1.68,0.24,0.48,0.69,0.91,1.5,0.27,0.5,0.7,0.94,1.38,0.28,0.51,0.72,0.93,1.42,0.31,0.55,0.77,1,1.35
1989,0.23,0.53,0.74,0.92,1.66,0.26,0.48,0.69,0.92,1.36,0.26,0.48,0.7,0.87,1.28,0.3,0.52,0.68,0.89,1.22,0.24,0.5,0.69,0.88,1.21
1990,0.2,0.51,0.74,1,1.86,0.25,0.48,0.73,0.92,1.54,0.23,0.47,0.77,1.02,1.52,0.23,0.46,0.73,1.02,1.47,0.21,0.48,0.7,0.98,1.3
1991,0.2,0.53,0.76,1.02,2.18,0.23,0.5,0.76,0.94,1.79,0.24,0.5,0.75,0.99,1.55,0.25,0.56,0.79,1.06,1.51,0.22,0.59,0.8,1.07,1.56
1992,0.22,0.53,0.71,0.96,1.68,0.23,0.46,0.7,0.84,1.28,0.23,0.47,0.64,0.89,1.29,0.23,0.45,0.66,0.89,1.27,0.19,0.46,0.68,0.84,1.03
1993,0.22,0.47,0.62,0.81,1.43,0.21,0.44,0.59,0.73,1.14,0.21,0.4,0.57,0.77,1.17,0.21,0.4,0.58,0.76,1.08,0.21,0.38,0.56,0.73,1.13
1994,0.25,0.48,0.63,0.84,1.31,0.24,0.45,0.62,0.81,1.29,0.22,0.45,0.58,0.82,1.29,0.23,0.43,0.62,0.84,1.33,0.23,0.42,0.6,0.8,1.21
1995,0.2,0.41,0.58,0.81,1.29,0.2,0.39,0.57,0.76,1.26,0.19,0.39,0.56,0.79,1.19,0.19,0.39,0.56,0.73,1.23,0.19,0.37,0.55,0.74,1.13
1996,0.17,0.38,0.51,0.73,1.23,0.16,0.36,0.51,0.72,1.07,0.15,0.36,0.52,0.76,1.28,0.16,0.36,0.53,0.76,1.2,0.18,0.35,0.51,0.72,1.13
1997,0.2,0.38,0.5,0.67,1.19,0.17,0.34,0.46,0.63,1.03,0.16,0.33,0.46,0.63,1.05,0.17,0.34,0.45,0.65,1.15,0.15,0.32,0.42,0.62,1.11
1998,0.18,0.35,0.47,0.64,1.16,0.16,0.32,0.45,0.63,0.96,0.14,0.28,0.42,0.61,1.03,0.15,0.3,0.42,0.59,0.99,0.12,0.28,0.4,0.52,0.87
1999,0.2,0.41,0.57,0.81,1.55,0.18,0.36,0.51,0.74,1.12,0.15,0.36,0.51,0.76,1.23,0.15,0.36,0.53,0.67,1.12,0.12,0.31,0.46,0.73,1.19
2000,0.23,0.54,0.75,1.08,2.26,0.18,0.44,0.65,1,2.01,0.14,0.38,0.63,1.01,1.9,0.13,0.44,0.62,1.02,1.52,0.11,0.42,0.7,0.94,1.49
2001,0.25,0.44,0.6,0.92,2.1,0.2,0.39,0.53,0.8,1.79,0.2,0.4,0.61,0.84,1.59,0.17,0.4,0.55,0.88,1.75,0.16,0.39,0.62,0.93,1.47
2002,0.34,0.59,0.69,0.88,1.73,0.28,0.47,0.6,0.77,1.68,0.25,0.43,0.6,0.93,1.55,0.23,0.43,0.62,1.11,1.91,0.2,0.41,0.64,0.87,1.67
2003,0.19,0.42,0.59,0.82,1.56,0.2,0.43,0.59,0.81,1.58,0.22,0.43,0.57,0.82,1.44,0.21,0.42,0.56,0.88,1.51,0.18,0.42,0.62,0.85,1.32
2004,0.19,0.39,0.52,0.71,1.17,0.19,0.35,0.51,0.66,1.19,0.18,0.35,0.49,0.66,1.15,0.2,0.36,0.5,0.64,1.04,0.19,0.37,0.53,0.7,1.08
2005,0.21,0.41,0.53,0.74,1.13,0.2,0.37,0.5,0.65,1.04,0.2,0.37,0.49,0.67,1.04,0.18,0.36,0.46,0.61,0.98,0.2,0.37,0.51,0.68,0.98
2006,0.18,0.34,0.48,0.64,1.12,0.17,0.34,0.47,0.65,0.98,0.18,0.33,0.47,0.63,0.99,0.17,0.33,0.49,0.65,1,0.19,0.35,0.48,0.61,1.02
2007,0.17,0.35,0.49,0.66,1.07,0.17,0.33,0.46,0.64,0.98,0.16,0.31,0.43,0.58,0.96,0.17,0.29,0.45,0.61,0.85,0.18,0.33,0.48,0.67,0.84
2008,0.24,0.51,0.7,1.02,2.08,0.22,0.46,0.65,0.89,1.73,0.19,0.43,0.58,0.79,1.84,0.21,0.38,0.55,0.86,1.58,0.21,0.38,0.63,0.91,1.52
2009,0.28,0.61,0.89,1.23,2.37,0.26,0.57,0.9,1.21,1.99,0.28,0.55,0.72,1.08,1.63,0.24,0.51,0.82,1.07,1.86,0.27,0.53,0.88,1.09,1.57
2010,0.25,0.51,0.72,0.93,1.67,0.21,0.48,0.69,0.92,1.47,0.23,0.47,0.68,0.93,1.49,0.24,0.46,0.69,0.96,1.46,0.25,0.47,0.75,0.96,1.36
2011,0.19,0.41,0.61,0.83,1.47,0.17,0.38,0.56,0.8,1.19,0.19,0.38,0.54,0.72,1.2,0.17,0.37,0.52,0.78,1.17,0.19,0.38,0.56,0.78,1.16
2012,0.2,0.46,0.68,0.91,1.61,0.2,0.44,0.71,0.86,1.44,0.22,0.45,0.64,0.92,1.67,0.21,0.41,0.63,0.92,1.44,0.21,0.45,0.63,0.9,1.54
2013,0.17,0.39,0.56,0.8,1.27,0.17,0.37,0.51,0.75,1.42,0.17,0.37,0.53,0.77,1.24,0.18,0.37,0.52,0.75,1.18,0.21,0.35,0.53,0.74,1.18
2014,0.16,0.35,0.5,0.71,1.19,0.16,0.32,0.47,0.65,1.13,0.14,0.31,0.45,0.64,1.11,0.16,0.29,0.44,0.65,0.98,0.15,0.29,0.47,0.63,1.02
2015,0.16,0.33,0.53,0.72,1.44,0.12,0.31,0.49,0.7,1.19,0.12,0.29,0.46,0.72,1.33,0.14,0.3,0.46,0.7,1.15,0.14,0.32,0.5,0.83,1.12
